channel,media_units,distribution,ci_hi,ci_lo,mean,channel_type,scaled_count_histogram,count_histogram,start_interval_histogram,end_interval_histogram
Google Paid Search,14477.6748046875,posterior,0.89433193,0.7352303,0.81907475,media,,,,
Google Paid Search,14477.6748046875,prior,0.96091557,0.74930507,0.8588457,media,,,,
Google Paid Search,14598.322265625,posterior,0.89511365,0.73684263,0.8202822,media,,,,
Google Paid Search,14598.322265625,prior,0.96122605,0.7508608,0.8598145,media,,,,
Google Paid Search,14718.9697265625,posterior,0.8958838,0.7384355,0.8214728,media,,,,
Google Paid Search,14718.9697265625,prior,0.96153164,0.75239724,0.8607701,media,,,,
Google Paid Search,14839.6171875,posterior,0.8966428,0.7400091,0.82264745,media,,,,
Google Paid Search,14839.6171875,prior,0.9618324,0.75391495,0.8617124,media,,,,
Google Paid Search,14960.2646484375,posterior,0.8973908,0.74156404,0.8238074,media,,,,
Google Paid Search,14960.2646484375,prior,0.9621286,0.75541407,0.86264193,media,,,,
Google Paid Search,15080.9111328125,posterior,0.8981281,0.74310035,0.82495147,media,,,,
Google Paid Search,15080.9111328125,prior,0.96242017,0.75689507,0.8635591,media,,,,
Google Paid Search,15201.55859375,posterior,0.8988548,0.7446185,0.8260815,media,,,,
Google Paid Search,15201.55859375,prior,0.9627073,0.7583583,0.8644642,media,,,,
Google Paid Search,15322.2060546875,posterior,0.89957124,0.7461189,0.82719606,media,,,,
Google Paid Search,15322.2060546875,prior,0.9629901,0.75980395,0.8653572,media,,,,
Google Paid Search,15442.853515625,posterior,0.90027755,0.7476017,0.8282972,media,,,,
Google Paid Search,15442.853515625,prior,0.9632686,0.76123244,0.86623853,media,,,,
Google Paid Search,15563.5009765625,posterior,0.9009741,0.7490673,0.82938486,media,,,,
Google Paid Search,15563.5009765625,prior,0.96354294,0.762644,0.86710817,media,,,,
Google Paid Search,15684.1484375,posterior,0.9016609,0.75051594,0.8304576,media,,,,
Google Paid Search,15684.1484375,prior,0.96381325,0.76403904,0.8679676,media,,,,
Google Paid Search,15804.7958984375,posterior,0.90233827,0.7519481,0.8315176,media,,,,
Google Paid Search,15804.7958984375,prior,0.96407956,0.7654177,0.8688145,media,,,,
Google Paid Search,15925.4423828125,posterior,0.9030064,0.7533638,0.8325639,media,,,,
Google Paid Search,15925.4423828125,prior,0.964342,0.7667804,0.86965114,media,,,,
Google Paid Search,16046.08984375,posterior,0.90366536,0.75476336,0.83359814,media,,,,
Google Paid Search,16046.08984375,prior,0.9646006,0.7681273,0.87047744,media,,,,
Google Paid Search,16166.7373046875,posterior,0.90431553,0.7561472,0.83461934,media,,,,
Google Paid Search,16166.7373046875,prior,0.9648555,0.7694587,0.8712926,media,,,,
Google Paid Search,16287.384765625,posterior,0.90495694,0.75751555,0.83562785,media,,,,
Google Paid Search,16287.384765625,prior,0.9651067,0.770775,0.87209713,media,,,,
Google Paid Search,16408.03125,posterior,0.9055898,0.75886863,0.83662343,media,,,,
Google Paid Search,16408.03125,prior,0.9653544,0.7720763,0.8728928,media,,,,
Google Paid Search,16528.6796875,posterior,0.9062143,0.7602066,0.83760726,media,,,,
Google Paid Search,16528.6796875,prior,0.96559864,0.773363,0.8736783,media,,,,
Google Paid Search,16649.326171875,posterior,0.9068305,0.76152986,0.838579,media,,,,
Google Paid Search,16649.326171875,prior,0.9658394,0.77463514,0.87445384,media,,,,
Google Paid Search,16769.974609375,posterior,0.9074388,0.7628386,0.8395407,media,,,,
Google Paid Search,16769.974609375,prior,0.9660768,0.77589315,0.87521994,media,,,,
Google Paid Search,16890.62109375,posterior,0.9080392,0.76413304,0.8404884,media,,,,
Google Paid Search,16890.62109375,prior,0.966311,0.77713716,0.8759765,media,,,,
Google Paid Search,17011.267578125,posterior,0.90863174,0.76541346,0.841427,media,,,,
Google Paid Search,17011.267578125,prior,0.9665419,0.7783674,0.87672466,media,,,,
Google Paid Search,17131.916015625,posterior,0.9092168,0.76668,0.84235424,media,,,,
Google Paid Search,17131.916015625,prior,0.96676964,0.77958417,0.87746274,media,,,,
Google Paid Search,17252.5625,posterior,0.90979445,0.767933,0.84327036,media,,,,
